capitulo,titulo,estado,enlace,nombre_local
110,Capitulo 110: Un acto de ****,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/110/,Ch110 - Gachiakuta
109,Capitulo 109: El paradero de amo y…,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/109/,Ch109 - Gachiakuta
108,"Capitulo 108: En serio, apartate de mi camino.",descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/108/,Ch108 - Gachiakuta
107,Capitulo 107: Mayor,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/107/,Ch107 - Gachiakuta
106,Capitulo 106: Merodeadores,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/106/,Ch106 - Gachiakuta
105,Capitulo 105: Contempla lo que esconde,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/105/,Ch105 - Gachiakuta
104,Capitulo 104: La Caja,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/104/,Ch104 - Gachiakuta
103,Capitulo 103: La caja,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/103/,Ch103 - Gachiakuta
102,Capitulo 102: Yo también soy un limpiador,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/102/,Ch102 - Gachiakuta
101,Capitulo 101: Rey,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/101/,Ch101 - Gachiakuta
100,Capitulo 100: Tori: La jungla de la tierra de nadie,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/100/,Ch100 - Gachiakuta
99,Capitulo 99: ¿Así es como vas a jugar?,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/99/,Ch99 - Gachiakuta
98,Capitulo 98: Conflictos de la escoria,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/98/,Ch98 - Gachiakuta
97,Capitulo 97: Dos manos,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/97/,Ch97 - Gachiakuta
96,"Capitulo 96: Pelea triple, tomalo o dejalo",descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/96/,Ch96 - Gachiakuta
95,Capitulo 95: ¡Hola!,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/95/,Ch95 - Gachiakuta
94,Capitulo 94: En sus marcas,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/94/,Ch94 - Gachiakuta
93,Capitulo 93: Kuro el informante,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/93/,Ch93 - Gachiakuta
92,Capitulo 92: El día libre de Tamzy,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/92/,Ch92 - Gachiakuta
91,Capitulo 91: Compras múltiples,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/91/,Ch91 - Gachiakuta
90,Capitulo 90: Logros y objetivos,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/90/,Ch90 - Gachiakuta
89,Capitulo 89: Buscando información,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/89/,Ch89 - Gachiakuta
88,Capitulo 88: Quiero comer helado,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/88/,Ch88 - Gachiakuta
87,Capitulo 87: Legado,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/87/,Ch87 - Gachiakuta
86,Capitulo 86: Contacto,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/86/,Ch86 - Gachiakuta
85,Capitulo 85: Excursión,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/85/,Ch85 - Gachiakuta
84,Capitulo 84: Un hombre que sabe,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/84/,Ch84 - Gachiakuta
